@RELATION data/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {pt_data,speechEmotion}

@DATA
0.042013,0.026709,3.123642,0.122375,0.176825,0.243335,0.009581,0.059655,-24.512938,2.746264,0.026505,0.045780,0.103418,0.131309,0.181131,0.158566,-0.024381,0.044914,-0.242441,-0.088145,-0.137356,0.054919,0.008014,0.115425,0.020107,0.014801,0.006245,0.025950,0.003422,0.003813,0.005109,0.017276,0.006112,0.041618,0.039629,0.022202,0.161488,0.055910,0.034396,0.295864,0.005954,0.084049,0.932141,0.324785,0.406683,0.388730,0.236446,0.245794,0.209750,0.231965,0.217090,0.179484,0.202978,0.232032,0.267180,0.050157,0.011350,0.058680,0.026056,0.011563,0.007864,0.021555,0.006137,0.005364,0.004350,0.016887,0.008789,0.012477,pt_data
0.033813,0.034631,3.058503,0.106645,0.167025,0.182199,0.009485,0.037988,-24.059121,2.833402,0.181109,0.224811,-0.072628,0.040618,0.017866,0.216722,0.063011,0.144449,-0.044390,0.179407,0.061765,0.008934,0.004944,0.077586,0.018170,0.030328,0.010766,0.053393,0.000984,0.008665,0.029011,0.017252,0.004137,0.031830,0.023798,0.032638,0.181426,0.041147,0.032306,0.197885,0.006094,0.039738,1.014649,0.390171,0.408850,0.298422,0.294613,0.221345,0.220926,0.185072,0.173146,0.162461,0.168549,0.153409,0.154978,0.009217,0.007855,0.044767,0.017022,0.022697,0.015633,0.036113,0.001306,0.012931,0.027898,0.012808,0.005486,0.009783,pt_data
0.078905,0.017824,3.128290,0.156596,0.188241,0.480651,0.007794,0.120350,-24.645530,2.519283,-0.067398,0.168254,0.250164,0.050342,0.160188,0.078398,0.031729,-0.001840,-0.095421,0.089125,0.029185,0.025267,0.002306,0.076116,0.015450,0.017262,0.006619,0.034518,0.001668,0.004711,0.014426,0.040320,0.004407,0.031578,0.089131,0.013982,0.141495,0.084020,0.025969,0.576272,0.005231,0.155354,0.792433,0.336211,0.389992,0.326421,0.234967,0.209811,0.167731,0.183308,0.161414,0.167557,0.162525,0.170034,0.199307,0.031359,0.002635,0.046546,0.019814,0.014512,0.008054,0.027340,0.002459,0.006462,0.015054,0.037406,0.005730,0.012489,pt_data
0.033923,0.026836,3.048591,0.102256,0.161464,0.197745,0.008212,0.041075,-23.891048,2.662832,0.085784,0.255606,-0.063861,0.027570,0.090544,0.125881,-0.050684,0.051738,-0.238481,0.106911,-0.120706,0.034248,0.007404,0.076194,0.018723,0.024616,0.008025,0.050645,0.001587,0.006843,0.012658,0.021963,0.008126,0.030134,0.021601,0.022114,0.172434,0.035406,0.029240,0.198857,0.004187,0.039170,0.866175,0.416083,0.416920,0.331174,0.248825,0.224980,0.211682,0.178060,0.198075,0.179190,0.164777,0.160352,0.165079,0.031207,0.009930,0.039665,0.018140,0.017742,0.008160,0.036070,0.002092,0.007039,0.010748,0.017123,0.010844,0.009257,pt_data
0.040596,0.022679,3.120213,0.118376,0.174484,0.245102,0.009748,0.058740,-24.519623,2.574517,0.018924,0.214131,-0.010132,0.161351,0.088830,0.247413,-0.005088,-0.026873,-0.260667,-0.063403,-0.165248,0.045446,0.008337,0.104055,0.017897,0.015111,0.005564,0.038890,0.001800,0.002303,0.005437,0.023917,0.010360,0.038830,0.036865,0.019031,0.167821,0.052415,0.034389,0.311056,0.006136,0.077954,0.822150,0.394214,0.308873,0.354077,0.250242,0.217013,0.183297,0.204050,0.186986,0.194704,0.211292,0.240504,0.278142,0.040293,0.011541,0.051380,0.017868,0.013017,0.006566,0.032002,0.002988,0.002297,0.004132,0.021951,0.014374,0.010264,pt_data
0.045735,0.020260,3.112995,0.123803,0.177326,0.229157,0.008379,0.065750,-24.657326,2.700942,-0.228833,0.226643,0.011741,0.225830,0.270926,0.275860,0.146015,0.054275,-0.237747,0.045160,0.044289,0.014139,0.007134,0.102444,0.016788,0.034591,0.007198,0.058350,0.001278,0.002758,0.008540,0.015332,0.003745,0.036411,0.042252,0.015025,0.116269,0.057151,0.033375,0.284154,0.005156,0.095915,0.627409,0.263740,0.277166,0.323038,0.213610,0.204657,0.174262,0.194052,0.182532,0.183062,0.198933,0.209061,0.209018,0.016879,0.010487,0.041312,0.016846,0.024102,0.009636,0.040254,0.001613,0.003125,0.008756,0.012499,0.004634,0.010449,pt_data
0.053444,0.034430,3.108973,0.128811,0.172767,0.357134,0.010914,0.078452,-23.973059,2.625629,0.039879,0.284393,0.106329,0.115222,0.020837,0.101467,-0.071658,0.070458,-0.143384,0.048641,-0.077858,0.028316,0.003444,0.065495,0.012223,0.022555,0.008964,0.048990,0.001502,0.007935,0.018820,0.031861,0.004207,0.033187,0.060720,0.028392,0.155127,0.066690,0.030533,0.504680,0.007464,0.113620,0.786906,0.412434,0.388030,0.323549,0.231876,0.229678,0.197207,0.219658,0.225517,0.186316,0.205122,0.224873,0.245070,0.035624,0.005435,0.044003,0.013861,0.020773,0.014928,0.041107,0.002191,0.012013,0.019139,0.033372,0.005929,0.012408,pt_data
0.050258,0.022709,3.124684,0.124599,0.172153,0.314861,0.009563,0.077420,-24.659477,2.475584,-0.148302,-0.075031,-0.150780,0.136440,0.180620,0.152661,0.102019,-0.020804,-0.072888,0.053266,0.033141,0.020292,0.008133,0.058170,0.017678,0.018430,0.009185,0.040500,0.001943,0.008823,0.011408,0.028584,0.009705,0.028460,0.047361,0.024275,0.166902,0.059842,0.035556,0.400303,0.005860,0.104474,1.134519,0.435731,0.430232,0.430820,0.300307,0.267747,0.239547,0.211236,0.199968,0.217142,0.214250,0.229396,0.259417,0.026700,0.012919,0.038253,0.021763,0.016060,0.012329,0.034435,0.002972,0.012585,0.011110,0.026455,0.015016,0.010572,pt_data
0.031152,0.037832,3.110437,0.100427,0.160840,0.168528,0.008946,0.041185,-23.974222,2.894114,0.186633,0.268738,-0.266569,0.174698,0.041393,0.254664,0.123404,0.082532,-0.024972,0.093310,0.085969,0.020615,0.004951,0.099599,0.015024,0.034576,0.008660,0.034620,0.000889,0.013107,0.010528,0.015014,0.007250,0.032297,0.024699,0.035109,0.123059,0.038787,0.029663,0.217129,0.004890,0.047182,0.979102,0.360210,0.379990,0.244469,0.322651,0.240605,0.271819,0.188252,0.184623,0.169531,0.164244,0.153037,0.154151,0.019192,0.006838,0.048614,0.013631,0.024589,0.011517,0.023523,0.000962,0.015947,0.009547,0.011860,0.010414,0.010547,pt_data
0.057372,0.025611,3.137840,0.134613,0.177830,0.355963,0.007273,0.088003,-23.964948,2.540180,-0.018074,0.207169,0.088263,0.009901,0.221914,0.123284,0.048195,0.107218,-0.163135,-0.000558,0.004443,0.039378,0.005315,0.074817,0.009519,0.014328,0.007871,0.045499,0.001467,0.004292,0.012464,0.037244,0.007441,0.032575,0.056471,0.019979,0.123809,0.066216,0.035021,0.402034,0.004273,0.121352,0.799804,0.340493,0.376388,0.386856,0.210791,0.232382,0.184656,0.190771,0.170402,0.174418,0.180518,0.207166,0.225459,0.041910,0.007973,0.043859,0.008915,0.011339,0.010090,0.034255,0.001688,0.005959,0.010828,0.031953,0.010019,0.010232,pt_data
